@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000348297695
@ ORBIT5           %le                  -0
@ GAMMATR          %le          53.5827131
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004326
@ DXMAX            %le         2.861364348
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066269
@ BETYMAX          %le          6010.06627
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.499110361
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "14/02/18"
@ TIME             %08s "18.57.29"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "MQ.13L3.B1"               2982.818442                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.12L3.B1"              3031.954958                  0 "MONITOR"           "BPM"                                0
 "MQT.12L3.B1"              3032.868958               0.32 "QUADRUPOLE"        "MQT"                  0.0009096853171
 "MQ.12L3.B1"               3036.266958                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "E.ARC.23.B1"              3084.930474                  0 "MARKER"            "OMK"                                0
 "BPM.11L3.B1"              3085.403474                  0 "MONITOR"           "BPM"                                0
 "MQ.11L3.B1"               3089.500474                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "MQTLI.11L3.B1"            3090.969474                1.3 "QUADRUPOLE"        "MQTLI"               -0.0004400807535
 "BPM.10L3.B1"              3138.184185                  0 "MONITOR"           "BPM"                                0
 "MQ.10L3.B1"               3142.281185                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "MQTLI.10L3.B1"            3143.750185                1.3 "QUADRUPOLE"        "MQTLI"                 0.001189870579
 "BPM.9L3.B1"               3177.249195                  0 "MONITOR"           "BPM"                                0
 "MQ.9L3.B1"                3181.346195                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "MQTLI.B9L3.B1"            3182.815195                1.3 "QUADRUPOLE"        "MQTLI"                -0.006129602921
 "MQTLI.A9L3.B1"            3184.270195                1.3 "QUADRUPOLE"        "MQTLI"                -0.006129602921
 "BPM.8L3.B1"               3217.712206                  0 "MONITOR"           "BPM"                                0
 "MQ.8L3.B1"                3221.809206                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "MQTLI.8L3.B1"             3223.278206                1.3 "QUADRUPOLE"        "MQTLI"                0.0001680988063
 "E.DS.L3.B1"               3256.303216                  0 "MARKER"            "OMK"                                0
